Node,Location,Employer,College
U27608,['greater new york city area'],"['a.t.kearney', 'idc', 'intel research', 'microsoft bing search(bellevue u.s.a)', 'microsoft research asia', 'microsoft research redmond', 'pine river capital management', 'share']",['tsinghua university']
U8036,['greater philadelphia area'],"['neshaminy school district', 'original profender']",['millersville university of pennsylvania']
U7035,['greater chicago area'],"['dunnhumby', 'nielsen company', 'resident hall library', 'state farm insurance', 'university of illinois at urbana-champaign - department of mathematics', 'university of illinois-department of statistics']",['university of illinois at urbana-champaign']
U22771,['san francisco bay area'],"['apple inc.', 'infinera', 'texas instruments', 'university of texas at austin']",['birla institute of technology and science']
U15994,['washington d.c. metro area'],"['american water works association', 'brown and caldwell', 'tetra tech']",['johns hopkins university']
U15341,['wichita kansas area'],"['atp solution', 'commlink info tech ltd.', 'netapp', 'wichita state university']",['bangladesh university of engineering and technology']
U3919,['shanghai city china'],"['alibaba cloud computing company', 'mediav', 'microsoft global technology supporting center', 'yahoo! beijing r&amp;d']",['fudan university']
U15917,['indianapolis indiana area'],"['cummins inc.', 'indian institute of science', 'merl', 'university of texas at austin', 'zeus numerix']",['indian institute of technology bombay']
U22843,['hyderabad area india'],['tata consultancy services'],['chaitanya bharathi institute of technology.']
U4517,['greater los angeles area'],"['china executive leadership program', 'guangrui district financial department', 'kpmg', 'nepo inc.', 'sanli pastore &amp; hill inc.', 'simpson &amp; simpson cpas']","[""xi'an jiaotong university""]"
U4489,['urbana-champaign illinois area'],['university of illinois at urbana-champaign'],['central michigan university']
U16089,['greater new york city area'],"['empiricus capital management group', 'quora', 'singapore-mit alliance for research &amp; technology']",['peking university beijing']
U1104,['germany'],"['center for educational testing and evaluation', 'center for research on learning', 'national board of osteopathic medical examiner - clinical skills testing', 'universiti teknologi malaysia', 'university of kansas']",['universiti teknologi malaysia']
U16137,['greater nashville area'],['cummins inc.'],['beijing normal university']
U2631,['austin texas area'],"['google', 'microsoft research asia', 'msra-ucla research in industrial projects for students', 'university of texas at austin']",['beihang university']
U9709,['urbana-champaign illinois area'],"['girl scouts of western ohio', 'lyondellbasell', 'subway', 'university of alabama']",['university of illinois at urbana-champaign']
U2622,['san francisco bay area'],"['computer vision &amp; active perception lab (cvap) kth', 'eth z&#xfc;rich', 'idiap research institute', 'mit', 'yahoo! labs']",['wuhan university']
U27691,['raleigh-durham north carolina area'],"['national chiao tung university', 'north carolina state university']",['national taiwan normal university']
U1282,['lansing michigan area'],"['act inc', 'can tho university vietnam', 'educational testing service', 'ghent university belgium', 'michigan state university']",['can tho university vietnam']
U8909,['greater st. louis area'],"['john birch society', ""perkins county sheriff's department""]",['nebraska wesleyan university']
U3909,['china'],"['alibaba.com', 'microsoft']",['tongji university']
U16101,['beijing city china'],"['axdia international gmbh', 'fraunhofer iais', 'idg media fundation', 'idg ventures']",['tongji university']
U7270,['urbana-champaign illinois area'],"['goldman sachs', 'illinois business consulting', 'university of illinois at urbana-champaign']",['university of illinois at urbana-champaign']
U15307,['bangladesh'],"['bangladesh bureau of statistics', 'dhaka - gtug', 'kona software lab ltd. (r&amp;d center of konai s. korea))', 'progmaatic developer network', 'technology solutions limited']",['bangladesh university of engineering and technology']
